# ma_value	plus_one_sigma	minus_one_sigma
3.8	0.211	0.092
3.9	0.203	0.089
4.0	0.199	0.088
4.1	0.197	0.087
4.2	0.196	0.086
4.3	0.194	0.085
4.4	0.193	0.085
4.5	0.193	0.085
4.6	0.191	0.085
4.7	0.191	0.084
4.8	0.186	0.082
4.9	0.189	0.083
5.0	0.188	0.083
5.1	0.187	0.083
5.2	0.186	0.083
5.3	0.185	0.082
5.4	0.185	0.082
5.5	0.183	0.082
5.6	0.183	0.081
5.7	0.182	0.081
5.8	0.181	0.081
5.9	0.180	0.081
6.0	0.179	0.080
6.1	0.178	0.080
6.2	0.177	0.080
6.3	0.177	0.079
6.4	0.175	0.079
6.5	0.175	0.079
6.6	0.174	0.078
6.7	0.173	0.078
6.8	0.172	0.078
6.9	0.172	0.077
7.0	0.171	0.077
7.1	0.170	0.077
7.2	0.169	0.076
7.3	0.169	0.076
7.4	0.168	0.076
7.5	0.168	0.075
7.6	0.167	0.074
7.7	0.165	0.074
7.8	0.163	0.073
7.9	0.152	0.068
8.0	0.128	0.057
8.0	0.128	0.057
8.1	0.153	0.070
8.2	0.164	0.075
8.3	0.166	0.076
8.4	0.167	0.077
8.5	0.167	0.077
8.6	0.167	0.076
8.7	0.166	0.076
8.8	0.167	0.076
8.9	0.168	0.077
9.0	0.169	0.077
9.1	0.173	0.079
9.2	0.182	0.083
9.3	0.203	0.092
9.4	0.234	0.105
9.5	0.237	0.106
9.6	0.206	0.093
9.7	0.186	0.084
9.8	0.183	0.082
9.9	0.194	0.088
10.0	0.208	0.093
10.1	0.205	0.092
10.2	0.198	0.088
10.3	0.199	0.089
10.4	0.193	0.086
10.5	0.177	0.079
10.6	0.164	0.074
10.7	0.158	0.071
10.8	0.156	0.070
10.9	0.154	0.069
11.0	0.153	0.068
11.1	0.152	0.068
11.2	0.152	0.068
11.3	0.151	0.067
11.4	0.150	0.067
11.5	0.150	0.067
11.6	0.148	0.066
11.7	0.146	0.065
11.8	0.141	0.063
11.9	0.130	0.057
12.0	0.116	0.051
12.0	0.110	0.051
12.1	0.122	0.054
12.2	0.135	0.061
12.3	0.142	0.066
12.4	0.143	0.065
12.5	0.140	0.062
12.6	0.137	0.059
12.7	0.134	0.058
12.8	0.133	0.057
12.9	0.133	0.056
13.0	0.133	0.057
13.1	0.134	0.057
13.2	0.135	0.058
13.3	0.137	0.060
13.4	0.138	0.062
13.5	0.138	0.062
13.6	0.138	0.061
13.7	0.137	0.061
13.8	0.137	0.061
13.9	0.137	0.061
14.0	0.137	0.061
14.1	0.135	0.059
14.2	0.133	0.057
14.3	0.131	0.055
14.4	0.129	0.054
14.5	0.128	0.053
14.6	0.127	0.052
14.7	0.128	0.052
14.8	0.129	0.054
14.9	0.131	0.056
15.0	0.133	0.057
15.1	0.134	0.059
15.2	0.135	0.059
15.3	0.135	0.059
15.4	0.134	0.057
15.5	0.132	0.056
15.6	0.131	0.055
15.7	0.129	0.053
15.8	0.128	0.052
15.9	0.127	0.051
16.0	0.128	0.052
16.1	0.131	0.054
16.2	0.133	0.056
16.3	0.134	0.056
16.4	0.133	0.056
16.5	0.132	0.055
16.6	0.132	0.055
16.7	0.132	0.055
16.8	0.133	0.055
16.9	0.133	0.055
17.0	0.134	0.056
17.1	0.136	0.057
17.2	0.138	0.058
17.3	0.140	0.060
17.4	0.141	0.060
17.5	0.141	0.060
17.6	0.140	0.059
17.7	0.140	0.058
17.8	0.140	0.058
17.9	0.142	0.060
18.0	0.145	0.062
18.1	0.149	0.065
18.2	0.152	0.067
18.3	0.154	0.069
18.4	0.156	0.070
18.5	0.157	0.070
18.6	0.158	0.071
18.7	0.158	0.070
18.8	0.156	0.068
18.9	0.155	0.066
19.0	0.154	0.064
19.1	0.152	0.063
19.2	0.152	0.062
19.3	0.152	0.062
19.4	0.154	0.062
19.5	0.156	0.064
19.6	0.160	0.066
19.7	0.163	0.069
19.8	0.167	0.071
19.9	0.170	0.073
20.0	0.174	0.075
20.1	0.179	0.078
20.2	0.183	0.081
20.3	0.188	0.084
20.4	0.191	0.087
20.5	0.195	0.089
20.6	0.198	0.091
20.7	0.201	0.092
20.8	0.202	0.092
20.9	0.205	0.093
21.0	0.207	0.093
